batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,1,648,0000014846_2019_4,13
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,2,649,0000014846_2019_4,14
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,3,650,0000014846_2019_4,15
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,4,856,0000023666_2012_4,3
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,5,862,0000023666_2012_4,22
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,6,863,0000023666_2012_4,23
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,7,864,0000023666_2012_4,25
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,8,865,0000023666_2012_4,26
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,9,636,0000028823_2018_4,21
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,10,637,0000028823_2018_4,22
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,11,638,0000028823_2018_4,23
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,12,388,0000063276_2024_4,12
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,13,392,0000063276_2024_4,16
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,14,482,0000067279_2013_4,2
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,15,483,0000067279_2013_4,3
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,16,488,0000067279_2013_4,9
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,17,489,0000067279_2013_4,11
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,18,490,0000067279_2013_4,12
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,19,491,0000067279_2013_4,13
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,20,492,0000067279_2013_4,14
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,21,495,0000067279_2013_4,17
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,22,496,0000067279_2013_4,18
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_001.csv,23,497,0000067279_2013_4,20
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,1,696,0000067347_2024_4,9
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,2,700,0000067347_2024_4,16
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,3,701,0000067347_2024_4,17
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,4,702,0000067347_2024_4,18
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,5,703,0000067347_2024_4,19
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,6,707,0000067347_2024_4,23
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,7,1140,0000072911_2005_4,2
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,8,1145,0000072911_2005_4,12
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,9,1146,0000072911_2005_4,14
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,10,1147,0000072911_2005_4,15
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,11,1148,0000072911_2005_4,16
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,12,1149,0000072911_2005_4,17
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,13,1150,0000072911_2005_4,18
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,14,1151,0000072911_2005_4,19
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,15,1152,0000072911_2005_4,20
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,16,1153,0000072911_2005_4,21
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,17,904,0000077281_2021_4,17
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,18,905,0000077281_2021_4,18
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,19,906,0000077281_2021_4,19
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,20,908,0000077281_2021_4,21
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,21,914,0000077281_2021_4,27
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,22,915,0000077281_2021_4,29
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,1,297,0000080035_2007_4,3
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,2,298,0000080035_2007_4,4
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,3,299,0000080035_2007_4,5
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,4,300,0000080035_2007_4,6
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,5,312,0000080035_2007_4,25
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,6,1369,0000089089_2007_4,11
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,7,1379,0000089089_2007_4,25
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,8,1381,0000089089_2007_4,29
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,9,203,0000091928_2006_4,8
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,10,207,0000091928_2006_4,12
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,11,208,0000091928_2006_4,13
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,12,1,0000109380_2009_4,4
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,13,3,0000109380_2009_4,7
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,14,85,0000215419_2013_4,20
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,15,86,0000215419_2013_4,21
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,16,87,0000215419_2013_4,22
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,17,1465,0000216039_2008_4,6
