batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,1,645,0000014846_2019_4,10
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,2,646,0000014846_2019_4,11
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,3,647,0000014846_2019_4,12
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,4,857,0000023666_2012_4,12
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,5,858,0000023666_2012_4,13
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,6,859,0000023666_2012_4,14
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,7,860,0000023666_2012_4,15
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,8,861,0000023666_2012_4,17
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,9,627,0000028823_2018_4,8
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,10,629,0000028823_2018_4,11
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,11,630,0000028823_2018_4,12
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,12,631,0000028823_2018_4,13
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,13,632,0000028823_2018_4,14
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,14,633,0000028823_2018_4,16
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,15,634,0000028823_2018_4,18
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,16,635,0000028823_2018_4,19
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,17,313,0000039273_2006_4,5
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,18,314,0000039273_2006_4,6
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,19,315,0000039273_2006_4,7
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,20,316,0000039273_2006_4,8
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,21,385,0000063276_2024_4,8
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,22,386,0000063276_2024_4,10
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,23,391,0000063276_2024_4,15
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,1,484,0000067279_2013_4,5
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,2,485,0000067279_2013_4,6
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,3,486,0000067279_2013_4,7
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,4,487,0000067279_2013_4,8
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,5,697,0000067347_2024_4,10
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,6,698,0000067347_2024_4,12
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,7,699,0000067347_2024_4,15
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,8,1141,0000072911_2005_4,7
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,9,1142,0000072911_2005_4,8
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,10,1143,0000072911_2005_4,9
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,11,1144,0000072911_2005_4,11
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,12,900,0000077281_2021_4,11
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,13,902,0000077281_2021_4,13
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,14,903,0000077281_2021_4,14
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,15,301,0000080035_2007_4,10
