batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,1,866,0000023666_2012_4,27
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,2,867,0000023666_2012_4,28
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,3,628,0000028823_2018_4,10
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,4,639,0000028823_2018_4,24
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,5,640,0000028823_2018_4,25
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,6,641,0000028823_2018_4,26
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,7,642,0000028823_2018_4,27
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,8,643,0000028823_2018_4,28
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,9,644,0000028823_2018_4,29
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,10,387,0000063276_2024_4,11
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,11,389,0000063276_2024_4,13
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,12,390,0000063276_2024_4,14
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,13,493,0000067279_2013_4,15
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,14,494,0000067279_2013_4,16
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,15,704,0000067347_2024_4,20
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,16,705,0000067347_2024_4,21
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,17,706,0000067347_2024_4,22
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,18,901,0000077281_2021_4,12
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,19,907,0000077281_2021_4,20
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,20,909,0000077281_2021_4,22
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,21,910,0000077281_2021_4,23
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,22,911,0000077281_2021_4,24
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,23,912,0000077281_2021_4,25
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,24,913,0000077281_2021_4,26
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_001.csv,25,309,0000080035_2007_4,21
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,1,1374,0000089089_2007_4,18
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,2,1380,0000089089_2007_4,26
